"English","Suggested Translations 1","Suggested translation 2","Suggested translation 2"
"About","ಕುರಿತು","ಕುರಿತು",
"Accessibility","ನಿಲುಕಣೆ","ನಿಲುಕು",
"Accessories","ಸಲಕರಣೆಗಳು","ಉಪಕರಣಗಳು",
"Accounts","ಖಾತೆಗಳು","ಖಾತೆಗಳು",
"Administration","ನಿರ್ವಹಣೆ","ನಿರ್ವಹಣೆ",
"Alignment","ಹೊಂದಾಣಿಕೆ","ಹೊಂದಿಕೆ",
"Anchor","ಲಂಗರು","ನೆಲೆಗೊಳಿಸು",
"Applications","ಅನ್ವಯಿಕಗಳು","ಅನ್ವಯಗಳು",
"Apply Filters","ಫಿಲ್ಟರುಗಳನ್ನು ಅಳವಡಿಸು","ಸೋಸುಕಗಳನ್ನು ಅನ್ವಯಿಸು",
"Area","ಪ್ರದೇಶ","ಸ್ಥಳ",
"Arrange","ಜೋಡಿಸು","ಕ್ರಮ",
"Authentication","ದೃಢೀಕರಣ"," ದೃಢೀಕರಣ",
"AutoCorrect","ಸ್ವಯಂತಿದ್ದುಪಡಿ","ಸ್ವಯಂತಿದ್ದುಪಡಿ",
"Autofit","ಸ್ವಯಂಹೊಂದಿಕೆ","ಸ್ವಯಂಹೊಂದಿಕೆ",
"AutoFormat","ಸ್ವಯಂರೂಪ","ಸ್ವಯಂವಿನ್ಯಾಸ",
"AutoText","ಸ್ವಯಂಪಠ್ಯ","ಸ್ವಯಂಪಠ್ಯ",
"Back","ಹಿಂದಕ್ಕೆ","ಹಿಂದಕ್ಕೆ",
"Bookmark","ಬುಕ್‌ಮಾರ್ಕ್","ಪುಟಗುರುತು",
"Boundaries","ಸೀಮಾರೇಖೆಗಳು","ಎಲ್ಲೆಗಳು",
"Buddies","ಗೆಳೆಯರು","ಗೆಳೆಯರು",
"Calculate","ಲೆಕ್ಕಹಾಕು","ಲೆಕ್ಕಹಾಕು",
"Calculator","ಕ್ಯಾಲ್ಕುಲೇಟರ್","ಗುಣಕ",
"Calender","ಕ್ಯಾಲೆಂಡರ್","ದಿನಸೂಚಿ",
